AssetID,Code
000499,111
000522,111
000549,112
000502,111
000513,112
000548,321
000547,321
000550,321
000523,112
000520,113
000500,111
000567,300
000504,111
000374,200
000541,200
000369,300
000545,280
000572,321
000552,370
000627,280
000542,390
000377,390
000563,300
000538,113
000525,401
000553,321
000529,280
000530,280
000371,200
000554,111
000641,300
000512,180
000519,280
000533,113
000560,300
000628,370
000539,113
000372,200
000503,111
000368,200
000644,501
000543,300
000558,370
000566,370
000546,280
000643,200
000507,111
000631,321
000555,112
000528,180
000629,321
000510,111
000531,113
000534,180
000514,112
000515,112
000498,311
000508,111
000532,111
000537,280
000536,280
000544,180
000527,112
000516,112
000638,370
000373,200
000509,111
000571,900
000526,112
000540,113
000637,900
000630,111
000561,321
000562,300
000633,900
000501,111
000565,311
000551,380
000559,112
000511,111
000639,370
000636,900
000506,111
000634,900
000564,900
000632,111
000635,370
000535,311
000642,300
000556,113
000487,290
000557,311
000521,112
000495,321
000524,111
000489,113
000493,401
000490,401
000488,401
000640,111
000485,110
000482,401
000483,401
000484,321
000029,0
000044,0
000057,0
000062,0
000064,0
000065,0
000066,0
000067,0
000068,0
000069,0
000070,0
000071,0
000072,0
000073,0
000074,0
000076,0
000077,0
000079,0
000080,0
000081,0
000083,0
000084,0
000087,0
000088,0
000089,0
000090,0
000092,0
000093,0
000094,0
000095,0
000096,0
000097,0
000098,0
000099,0
000100,0
000101,0
000102,0
000103,0
000104,0
000106,0
000107,0
000108,0
000110,0
000111,0
000112,0
000114,0
000118,0
000119,0
000120,0
000121,0
000122,0
000123,0
000124,0
000125,0
000126,0
000128,0
000129,0
000130,0
000131,0
000132,0
000133,0
000134,0
000135,0
000136,0
000137,0
000138,0
000139,0
000140,0
000141,0
000142,0
000143,0
000144,0
000145,0
000146,0
000147,0
000148,0
000149,0
000150,0
000151,0
000155,0
000156,0
000172,0
000173,0
000174,0
000175,0
000178,0
000179,0
000180,0
000181,0
000182,0
000184,0
000185,0
000186,0
000191,0
000194,0
000195,0
000196,0
000198,0
000199,0
000200,0
000201,0
000202,0
000210,0
000212,0
000213,0
000214,0
000215,0
000216,0
000219,0
000221,0
000222,0
000223,0
000224,0
000227,0
000229,0
000242,0
000253,0
000254,0
000255,0
000258,0
000259,0
000264,0
000265,0
000269,0
000274,0
000283,980
000284,0
000285,0
000286,0
000287,0
000288,0
000289,0
000294,0
000295,0
000296,0
000297,0
000298,0
000299,0
000300,0
000301,0
000302,0
000303,0
000304,0
000305,0
000306,0
000307,0
000308,0
000309,0
000316,0
000317,0
000318,0
000319,0
000320,0
000321,0
000322,0
000323,0
000324,0
000325,0
000326,0
000328,0
000329,0
000332,0
000333,0
000334,0
000335,0
000337,0
000338,0
000340,0
000341,0
000345,0
000352,0
000353,0
000354,0
000355,0
000356,0
000357,0
000358,0
000359,0
000360,0
000361,0
000362,0
000363,0
000370,0
000375,0
000376,0
000378,0
000379,0
000382,0
000383,0
000384,0
000385,0
000386,0
000387,0
000388,0
000389,0
000391,0
000394,0
000395,0
000396,0
000397,0
000398,0
000399,0
000400,0
000401,0
000402,0
000404,0
000406,0
000407,0
000408,0
000409,0
000410,0
000411,0
000412,0
000413,0
000414,0
000415,0
000418,0
000419,0
000421,0
000424,0
000426,112
000427,113
000428,112
000431,0
000432,0
000433,0
000434,0
000435,0
000436,0
000437,0
000438,112
000439,0
000440,949
000441,949
000442,0
000443,0
000445,0
000448,980
000449,280
000451,0
000452,280
000453,280
000454,980
000455,0
000456,0
000457,321
000458,321
000459,111
000460,321
000461,321
000463,112
000464,113
000474,112
000475,0
000476,0
000477,0
000478,0
000479,900
000480,900
000481,110
000486,0
000491,900
000492,900
000494,0
000496,900
000497,0
000505,900
000517,0
000518,0
