AssetID,Desc,DeprYTD,Code
122,Bookcase,0,900
123,Trade Show Booth,0,900
124,Lateral File Cabinets,0,900
125,Office Furniture & Desks,0,900
126,Safes,0,900
128,Office Furniture,0,900
129,Warehouse Shelving,0,900
130,Lateral File Cabinets,0,900
131,Window Head Rails,0,900
132,Warehouse Lockers,0,900
133,Office Furniture,0,900
134,Warehouse Shelving,0,900
135,Office Furniture,0,900
136,Warehouse shelving,0,900
137,Warehouse Shelving,0,900
138,Office Furniture,0,900
139,Desks,0,900
140,Cubicles,0,900
141,Warehouse Lighting,0,900
142,Warehouse Shelving,0,900
143,Office Furniture,0,900
144,Warehouse Shelving,0,900
145,Warehouse Bins,0,900
146,Warehouse Shelving,0,900
147,Warehouse Bins,0,900
148,Warehouse Shelving,0,900
149,Cubicles,0,900
150,Tables & Chairs - Carla's Office,0,900
151,Nicki's Desk & Work Space,0,900
155,Modular Office,0,190
156,Modular Office,0,190
172,Computer Software,0,906
173,MAS 500,0,906
174,Computer Software,0,906
175,Computer Software,0,906
178,Inventory Mgt Sys,0,906
179,Trumpf Punch Software,0,906
180,Hand Punch Software,0,906
181,MAS 500 P/Y Catch-Up,0,906
182,Computer Software,0,906
184,Lathe - Used,0,0
185,Milling Machine - Used,0,0
186,Rolling Band Saw - Used,0,0
191,"Ladder, Forklift Gate, Stands - Used",0,0
194,Haeger Insertion Press Break #2,0,0
195,Speedy Packer Bench Style Model,0,0
196,Trumpf SZ1 Thread Form,0,0
198,Forklift - for Rolled Steel,0,0
199,Exhaust Hood Welder Table,0,0
200,60- Collapsible Bins,0,0
201,Weld Screen,0,0
202,Welder - Mfg,0,0
210,Color Laser Printer,0,906
212,Fax Machine,0,906
213,Bar Coding Software,0,906
214,Enhancements WA & Installation,0,906
215,Installation of Bar Coding Software & Training,0,906
216,Trumpf 2510  Laser - Used,0,0
219,Off load laser w/ crane,0,0
221,7 Gauge Dump Hopper,0,0
222,Steel Racking - Steel Sheets,0,0
223,Press Brake,0,0
224,25 Plastic Black Bins,0,0
227,Welder - Valley Industrial Gases,0,0
229,40 Plastic Black Bins,0,0
242,PSI Concrete with Fiber & Rods,0,949
253,Engineering PC - Sam,0,906
254,Engineering PC- Jon,0,906
255,Dave R's Workstation,0,906
258,Windchill Engineering Software,0,906
259,Backup and recovery software - Acronis Intl,0,906
264,Laptops for Carla and Tyler,0,906
265,Computer Quality - Jackie,0,906
269,3 Module Triax Accel Diff Out 25g,0,949
274,Isgus Time Clock - New Bldg,0,0
283,Catch Basin & Dock Apron,597.61,980
284,Lighting - New Bldg.,0,0
285,Electrical Wiring New Lighting,0,0
286,Computer - Dave Richardson,0,906
287,Computer - Brian Meier,0,906
288,Computer - Joe O'Block,0,906
289,Computer - Carla Home Log-In,0,906
294,VM Ware Software,0,906
295,Microsoft Software,0,906
296,Windows Server Software,0,906
297,SQL Server Software,0,906
298,Phone System,0,0
299,Deluxe Cylinder Dolly,0,0
300,Floor Scrubber,0,0
301,75 Bulldog Racking,0,0
302,Stretch Wrapper,0,0
303,25 Collapsible Containers,0,0
304,40 Black Bins,0,1
305,15 Wire Containers,0,1
306,Granite Engineering Table,0,1
307,Gorbel Bridge Crane & Hoists,0,1
308,2 Dump Hoppers,0,1
309,Shelving - New Building,0,1
316,Offices - Lighting Wiring - Labor,0,0
317,Offices - Walls Lumber - Labor,0,0
318,Garage Door & Install,0,0
319,Electrical Wiring New Lighting,0,0
320,Security System New Butler,0,0
321,Lighting New Offices,0,0
322,Electrical Panals New Building,0,0
323,14 Lighting,0,0
324,Office Renovations,0,0
325,Computers - Rhonda & Carla,0,906
326,Network Switch,0,906
328,Carla's Laptop at the Lake,0,906
329,5 Computers,0,906
332,Dave Richardson Computer,0,906
333,Engineering PC,0,906
334,Network Infrastructure Device,0,906
335,36 Memory Module for 3 Servers,0,906
337,Dell 3333 Laser Printer,0,906
338,Jen Passarelli Lap Top,0,906
340,Email Server Software,0,906
341,Forklift,0,0
345,Portable Coordinant Measuring,0,1
352,File Server,0,906
353,Engineering PC,0,906
354,PDF Server,0,906
355,Buckner Computer,0,906
356,Labview Software - Audia,0,906
357,General Furniture - New Butler,0,900
358,Executive Office Furniture (Dave & Carla) - New Butler,0,900
359,Electric Range - New Butler,0,900
360,Refrig - New Butler,0,900
361,2 TV's Conference room tv's  - New Butler,0,900
362,"SAMSUNG 60"" TV DJR OFFICE - MORAVIA",0,900
363,"""AIR CONDITIONING SYSTEM PUT IN I.T. ROOM - MORAVIA",0,900
370,"Wiring for lighting, data, & power in new office",0,0
375,Wiring of Data and Phone Lines,0,0
376,Final Electrical work,0,0
378,Network Device Switch,0,906
379,SAN server,0,906
382,Qtech pc,0,906
383,Milling Guy - New PC,0,906
384,PC for Robotic Welder,0,906
385,Dave Richardson PC - New Butler,0,906
386,Carla  PC - New Butler,0,906
387,New eng PC,0,906
388,JIM PYER - LAPTOP,0,906
389,LAPTOP - Brian Eng,0,906
391,Software Scott 13 - AutoCAD LT 2012,0,906
394,SOFTWARE FOR PROGRAMMING TEST MACHINES,0,906
395,Scissor Lift,0,0
396,Leonard Model Tubemaster Flaring & Bending Machine,0,1
397,MIG Welders,0,1
398,Flaring tool for tube bender,0,1
399,crane 1000#cap 15' span - edney,0,1
400,Moravia - electrical work welding area,0,1
401,Moravia - electrical work tube bending area,0,1
402,Crane for Weld Station,0,1
404,Tube Bending Machine Computer Board,0,1
406,Hoist for Mfg Crane,0,1
407,Jib Crane,0,1
408,Instapak Machine - New Butler Road,0,1
409,CNC Electrical Wiring,0,1
410,CNC Milll Magnets x2,0,1
411,"Wiring of New Lines - CNC Mill #1, Tube Bender & other Machines - Moravia",0,1
412,New CNC MILL #2,0,1
413,40 BLACK BINS,0,1
414,LATHE - OKUMA GENOS L300,0,1
415,CNC LATHE Transformer,0,1
418,"Wiring of CNC Lathe & new CNC Mill #2, & Adjusted Light Assembly Area",0,1
419,2 60 inch TV's Dave & Carla - New Butler,0,900
421,CNC Lathe - Short Bar Feeder,0,1
424,Used CNC Machine - Trade Mold Tank 5,0,1
426,Bluco Fixture Table for Deutz,326.47,112
427,"Tube Bender, Expander reducer machine",61.36,113
428,H&H Press Head Spot Welder,0.01,112
431,Color Printer,0,906
432,Computer Pete Rossin -  Apple Ipad,0,906
433,"DJR's 18"" Tablet",0,906
434,Jim Richardson Lakehouse Computer,0,906
435,Software upgrade for Lathe,0,906
436,Dock Repairs - Moravia,0,0
437,DJR Computer - Moravia,0,906
438,Large Chiller-Spot Welder,34.29,112
439,TIG Welder,0,1
440,Thermal Cycle Testing Imaging Camera,23.87,949
441,Chiller-Thermal Cycle Tester,240.53,949
442,DJR Computer New Butler,0,906
443,Computer Server Switch,0,906
445,Computer Firewall,0,906
448,40 Black Bins,264.3,980
449,Gray Warehouse Reacking - New Butler,287.42,280
451,CAC Pipe Racking,0,0
452,Racking - New Butler,222.89,280
453,Floor Scale - New Butler,388.72,280
454,50 Black Bins,1101.18,980
455,TIG Welder - Moravia,0,0
456,TIG Welder - New Butler,0,1
457,Robotic Welder #2,15158.11,321
458,Robotic Welder #3,15158.11,321
459,Conveyor for Trumpf Punch,306.19,111
460,OKUMA 3000 Lathe,10833.32,321
461,Fixture for New Robotic Welder,2263.91,321
463,TruBend 7036,13916.11,112
464,Tube Bender,4337.45,113
474,Current Monitor & Pressure Transducer - Weld Nut Machine,21.99,112
475,6 New Wifi Devices,0,906
476,DJR Tablet,0,906
477,3 Network Switches - System Overhaul,0,906
478,Pyer Tablet,0,906
479,Leased Furniture for Florida Guest House,1407.49,900
480,Leased Furniture for Florida Guest House,1651.93,900
481,Compressor at Moravia,1929.44,110
486,2 Dot Hill Server Controllers housed at RCP,0,906
491,DJR Computer - Dell Venue 11 Pro,22.99,906
492,3 Computer Servers - Upgrades,335.68,906
494,CRM Software,0,906
496,Computer - Edney,95.95,906
497,Windchill upgrade server software,0,906
505,Surface Pro Computer,403.24,906
517,Sophos Cloud Email Protection,0,906
518,Windchill CREO Tool Design Software,0,906
