,AssetID,Desc,DeprYTD,Code
125,000084,Crane with Hoist Trolley,0.0,0
126,000087,Forklift,0.0,0
127,000088,Stretch Wrap Machine,0.0,0
128,000089,Instapak Machine,0.0,0
129,000090,Nissan CF40LP Forklift,0.0,0
130,000092,Scale & Zebra Printer,0.0,0
131,000093,TIG Welder & Accessories,0.0,0
132,000094,Nissan CF40LP Forklift,0.0,0
133,000095,Chain Link Fence - Outside,0.0,0
134,000096,Pallet Pal w/ Rotator Top,0.0,0
135,000097,Air Compressor,0.0,0
136,000098,Time Clock-Hand Punch,0.0,0
137,000099,Slear,0.0,0
138,000100,Punch,0.0,0
139,000101,Press Break,0.0,0
140,000102,Press Break 2,0.0,0
141,000103,Heager Press 1,0.0,0
142,000104,Collap Bins,0.0,0
143,000106,Pallet Stands,0.0,0
144,000107,Workstation Crane,0.0,0
145,000108,Assembly Area,0.0,0
146,000110,Nelson Wire Mesh Baskets,0.0,0
147,000111,Cabinets,0.0,0
148,000112,Racks,0.0,0
149,000114,Hoppers,0.0,0
150,000118,Bookcase,0.0,0
151,000119,Office Furniture,0.0,0
152,000120,Warehouse Shelving,0.0,0
153,000121,Table Bins,0.0,0
154,000122,Bookcase,0.0,0
155,000123,Trade Show Booth,0.0,0
156,000124,Lateral File Cabinets,0.0,0
157,000125,Office Furniture & Desks,0.0,0
158,000126,Safes,0.0,0
159,000128,Office Furniture,0.0,0
160,000129,Warehouse Shelving,0.0,0
161,000130,Lateral File Cabinets,0.0,0
162,000131,Window Head Rails,0.0,0
163,000132,Warehouse Lockers,0.0,0
164,000133,Office Furniture,0.0,0
165,000134,Warehouse Shelving,0.0,0
166,000135,Office Furniture,0.0,0
167,000136,Warehouse shelving,0.0,0
168,000137,Warehouse Shelving,0.0,0
169,000138,Office Furniture,0.0,0
170,000139,Desks,0.0,0
171,000140,Cubicles,0.0,0
172,000141,Warehouse Lighting,0.0,0
173,000142,Warehouse Shelving,0.0,0
174,000143,Office Furniture,0.0,0
175,000144,Warehouse Shelving,0.0,0
176,000145,Warehouse Bins,0.0,0
177,000146,Warehouse Shelving,0.0,0
178,000147,Warehouse Bins,0.0,0
179,000148,Warehouse Shelving,0.0,0
180,000149,Cubicles,0.0,0
181,000150,Tables & Chairs - Carla's Office,0.0,0
182,000151,Nicki's Desk & Work Space,0.0,0
183,000155,Modular Office,0.0,0
184,000156,Modular Office,0.0,0
185,000172,Computer Software,0.0,0
186,000173,MAS 500,0.0,0
187,000174,Computer Software,0.0,0
188,000175,Computer Software,0.0,0
189,000178,Inventory Mgt Sys,0.0,0
190,000179,Trumpf Punch Software,0.0,0
191,000180,Hand Punch Software,0.0,0
192,000181,MAS 500 P/Y Catch-Up,0.0,0
193,000182,Computer Software,0.0,0
194,000184,Lathe - Used,0.0,0
195,000185,Milling Machine - Used,0.0,0
196,000186,Rolling Band Saw - Used,0.0,0
197,000191,"Ladder, Forklift Gate, Stands - Used",0.0,0
198,000194,Haeger Insertion Press Break #2,0.0,0
199,000195,Speedy Packer Bench Style Model,0.0,0
200,000196,Trumpf SZ1 Thread Form,0.0,0
201,000198,Forklift - for Rolled Steel,0.0,0
202,000199,Exhaust Hood Welder Table,0.0,0
203,000200,60- Collapsible Bins,0.0,0
204,000201,Weld Screen,0.0,0
205,000202,Welder - Mfg,0.0,0
206,000210,Color Laser Printer,0.0,0
207,000212,Fax Machine,0.0,0
208,000213,Bar Coding Software,0.0,0
209,000214,Enhancements WA & Installation,0.0,0
210,000215,Installation of Bar Coding Software & Training,0.0,0
211,000216,Trumpf 2510  Laser - Used,0.0,0
212,000219,Off load laser w/ crane,0.0,0
213,000221,7 Gauge Dump Hopper,0.0,0
214,000222,Steel Racking - Steel Sheets,0.0,0
215,000223,Press Brake,0.0,0
216,000224,25 Plastic Black Bins,0.0,0
217,000227,Welder - Valley Industrial Gases,0.0,0
218,000229,40 Plastic Black Bins,0.0,0
219,000242,PSI Concrete with Fiber & Rods,0.0,0
220,000253,Engineering PC - Sam,0.0,0
221,000254,Engineering PC- Jon,0.0,0
222,000255,Dave R's Workstation,0.0,0
223,000258,Windchill Engineering Software,0.0,0
224,000259,Backup and recovery software - Acronis Intl,0.0,0
225,000264,Laptops for Carla and Tyler,0.0,0
226,000265,Computer Quality - Jackie,0.0,0
227,000269,3 Module Triax Accel Diff Out 25g,0.0,0
228,000274,Isgus Time Clock - New Bldg,0.0,0
229,000283,Catch Basin & Dock Apron,597.61,980
230,000284,Lighting - New Bldg.,0.0,0
231,000285,Electrical Wiring New Lighting,0.0,0
232,000286,Computer - Dave Richardson,0.0,0
233,000287,Computer - Brian Meier,0.0,0
234,000288,Computer - Joe O'Block,0.0,0
235,000289,Computer - Carla Home Log-In,0.0,0
236,000294,VM Ware Software,0.0,0
237,000295,Microsoft Software,0.0,0
238,000296,Windows Server Software,0.0,0
239,000297,SQL Server Software,0.0,0
240,000298,Phone System,0.0,0
241,000299,Deluxe Cylinder Dolly,0.0,0
242,000300,Floor Scrubber,0.0,0
243,000301,75 Bulldog Racking,0.0,0
244,000302,Stretch Wrapper,0.0,0
245,000303,25 Collapsible Containers,0.0,0
246,000304,40 Black Bins,0.0,0
247,000305,15 Wire Containers,0.0,0
248,000306,Granite Engineering Table,0.0,0
249,000307,Gorbel Bridge Crane & Hoists,0.0,0
250,000308,2 Dump Hoppers,0.0,0
251,000309,Shelving - New Building,0.0,0
252,000316,Offices - Lighting Wiring - Labor,0.0,0
253,000317,Offices - Walls Lumber - Labor,0.0,0
254,000318,Garage Door & Install,0.0,0
255,000319,Electrical Wiring New Lighting,0.0,0
256,000320,Security System New Butler,0.0,0
257,000321,Lighting New Offices,0.0,0
258,000322,Electrical Panals New Building,0.0,0
259,000323,14 Lighting,0.0,0
260,000324,Office Renovations,0.0,0
261,000325,Computers - Rhonda & Carla,0.0,0
262,000326,Network Switch,0.0,0
263,000328,Carla's Laptop at the Lake,0.0,0
264,000329,5 Computers,0.0,0
265,000332,Dave Richardson Computer,0.0,0
266,000333,Engineering PC,0.0,0
267,000334,Network Infrastructure Device,0.0,0
268,000335,36 Memory Module for 3 Servers,0.0,0
269,000337,Dell 3333 Laser Printer,0.0,0
270,000338,Jen Passarelli Lap Top,0.0,0
271,000340,Email Server Software,0.0,0
272,000341,Forklift,0.0,0
273,000345,Portable Coordinant Measuring,0.0,0
274,000352,File Server,0.0,0
275,000353,Engineering PC,0.0,0
276,000354,PDF Server,0.0,0
277,000355,Buckner Computer,0.0,0
278,000356,Labview Software - Audia,0.0,0
279,000357,General Furniture - New Butler,0.0,0
280,000358,Executive Office Furniture (Dave & Carla) - New Butler,0.0,0
281,000359,Electric Range - New Butler,0.0,0
282,000360,Refrig - New Butler,0.0,0
283,000361,2 TV's Conference room tv's  - New Butler,0.0,0
284,000362,"SAMSUNG 60"" TV DJR OFFICE - MORAVIA",0.0,0
285,000363,"""AIR CONDITIONING SYSTEM PUT IN I.T. ROOM - MORAVIA",0.0,0
